region,district,year,month,anomaly_label,anomaly_score,is_anomaly
Ahafo,Asutifi North,2012,12,1,0.4784105877241551,0
Ahafo,Goaso,2012,12,1,0.4668779179986597,0
Ahafo,Asutifi North,2013,1,1,0.4685079850608119,0
Ahafo,Goaso,2013,1,1,0.47358718294809804,0
Ahafo,Asutifi North,2013,2,1,0.4644148391724067,0
Ahafo,Goaso,2013,2,1,0.4619093031564089,0
Ahafo,Asutifi North,2013,3,1,0.41269633517859544,0
Ahafo,Goaso,2013,3,1,0.41723368898637886,0
Ahafo,Asutifi North,2013,4,1,0.47619334255846946,0
Ahafo,Goaso,2013,4,1,0.4159410230479708,0
Ahafo,Asutifi North,2013,5,1,0.45423152904126957,0
Ahafo,Goaso,2013,5,1,0.4097154672780668,0
Ahafo,Asutifi North,2013,6,1,0.4750995029541414,0
Ahafo,Goaso,2013,6,1,0.3986406630307548,0
Ahafo,Asutifi North,2013,7,1,0.4515901358925399,0
Ahafo,Goaso,2013,7,1,0.40395968603273846,0
Ahafo,Asutifi North,2013,8,1,0.41586521932082404,0
Ahafo,Goaso,2013,8,1,0.3975621694827084,0
Ahafo,Asutifi North,2013,9,1,0.4170573634822911,0
Ahafo,Goaso,2013,9,1,0.39811348671281405,0
Ahafo,Asutifi North,2013,10,1,0.42302085056420063,0
Ahafo,Goaso,2013,10,1,0.41269040477095864,0
Ahafo,Asutifi North,2013,11,1,0.3994357008296983,0
Ahafo,Goaso,2013,11,1,0.40069973051915647,0
Ahafo,Asutifi North,2013,12,1,0.4886207924419797,0
Ahafo,Goaso,2013,12,1,0.4672069702678334,0
Ahafo,Asutifi North,2014,1,1,0.4547483028893459,0
Ahafo,Goaso,2014,1,1,0.45167545193204595,0
Ahafo,Asutifi North,2014,2,1,0.45735795011355085,0
Ahafo,Goaso,2014,2,1,0.4554316446825135,0
Ahafo,Asutifi North,2014,3,1,0.41635967487570014,0
Ahafo,Goaso,2014,3,1,0.4307697160151027,0
Ahafo,Asutifi North,2014,4,1,0.4142288498604075,0
Ahafo,Goaso,2014,4,1,0.43612676808272266,0
Ahafo,Asutifi North,2014,5,1,0.40844205961272706,0
Ahafo,Goaso,2014,5,1,0.4290566353931295,0
Ahafo,Asutifi North,2014,6,1,0.40538178513956713,0
Ahafo,Goaso,2014,6,1,0.4181998284267926,0
Ahafo,Asutifi North,2014,7,1,0.4159707955887931,0
Ahafo,Goaso,2014,7,1,0.4189524153205689,0
Ahafo,Asutifi North,2014,8,1,0.4049986619837605,0
Ahafo,Goaso,2014,8,1,0.41062129789756,0
Ahafo,Asutifi North,2014,9,1,0.40314045842970936,0
Ahafo,Goaso,2014,9,1,0.40221263960998516,0
Ahafo,Asutifi North,2014,10,1,0.43723805984681,0
Ahafo,Goaso,2014,10,1,0.4147735577679034,0
Ahafo,Asutifi North,2014,11,1,0.4234355003401359,0
Ahafo,Goaso,2014,11,1,0.42534523041747824,0
Ahafo,Asutifi North,2014,12,1,0.49364689299150655,0
Ahafo,Goaso,2014,12,1,0.4653005972307395,0
Ahafo,Asutifi North,2015,1,1,0.4814615654168119,0
Ahafo,Goaso,2015,1,1,0.46341299012004844,0
Ahafo,Asutifi North,2015,2,1,0.4512358971687684,0
Ahafo,Goaso,2015,2,1,0.4424768868703198,0
Ahafo,Asutifi North,2015,3,1,0.4224267366285271,0
Ahafo,Goaso,2015,3,1,0.5082744683418912,0
Ahafo,Asutifi North,2015,4,1,0.42869173955813905,0
Ahafo,Goaso,2015,4,1,0.45524853890227396,0
Ahafo,Asutifi North,2015,5,1,0.40184214867211976,0
Ahafo,Goaso,2015,5,1,0.4564970863522823,0
Ahafo,Asutifi North,2015,6,1,0.39667349214419284,0
Ahafo,Goaso,2015,6,1,0.4510007668479703,0
Ahafo,Asutifi North,2015,7,1,0.39808073408696204,0
Ahafo,Goaso,2015,7,1,0.5105340201116867,0
Ahafo,Asutifi North,2015,8,1,0.4042258243658223,0
Ahafo,Goaso,2015,8,1,0.4436788039275225,0
Ahafo,Asutifi North,2015,9,1,0.40961586143710443,0
Ahafo,Goaso,2015,9,1,0.47806559886866573,0
Ahafo,Asutifi North,2015,10,1,0.41065181802650064,0
Ahafo,Goaso,2015,10,1,0.4546239392335533,0
Ahafo,Asutifi North,2015,11,1,0.4307583787984044,0
Ahafo,Goaso,2015,11,1,0.44243664115119175,0
Ahafo,Asutifi North,2015,12,1,0.4701761614299479,0
Ahafo,Goaso,2015,12,1,0.47422312117284765,0
Ahafo,Asutifi North,2016,1,1,0.47233606752211776,0
Ahafo,Goaso,2016,1,1,0.4836903403887305,0
Ahafo,Asutifi North,2016,2,1,0.44138308620868166,0
Ahafo,Goaso,2016,2,1,0.4549014836914343,0
Ahafo,Asutifi North,2016,3,1,0.4156121463189572,0
Ahafo,Goaso,2016,3,1,0.4277933694198824,0
Ahafo,Asutifi North,2016,4,1,0.4157628490032174,0
Ahafo,Goaso,2016,4,1,0.43514857987839695,0
Ahafo,Asutifi North,2016,5,1,0.40277039197782427,0
Ahafo,Goaso,2016,5,1,0.4056528093959363,0
Ahafo,Asutifi North,2016,6,1,0.40126961040282283,0
Ahafo,Goaso,2016,6,1,0.4067286233888296,0
Ahafo,Asutifi North,2016,7,1,0.4089094308792741,0
Ahafo,Goaso,2016,7,1,0.4151007245435059,0
Ahafo,Asutifi North,2016,8,1,0.4226266558840269,0
Ahafo,Goaso,2016,8,1,0.41741708594967236,0
Ahafo,Asutifi North,2016,9,1,0.4074368785103904,0
Ahafo,Goaso,2016,9,1,0.40513417776314004,0
Ahafo,Asutifi North,2016,10,-1,0.5370312451470856,1
Ahafo,Goaso,2016,10,1,0.4225240165095548,0
Ahafo,Asutifi North,2016,11,1,0.49147396425420903,0
Ahafo,Goaso,2016,11,1,0.44278755486659177,0
Ahafo,Asutifi North,2016,12,1,0.5266946720880711,0
Ahafo,Goaso,2016,12,1,0.46084389715567364,0
Ahafo,Asutifi North,2017,1,1,0.5170323438449312,0
Ahafo,Goaso,2017,1,1,0.46147723104327115,0
Ahafo,Asutifi North,2017,2,1,0.4781908046982944,0
Ahafo,Goaso,2017,2,1,0.43085776147533644,0
Ahafo,Asutifi North,2017,3,1,0.4431984724799177,0
Ahafo,Goaso,2017,3,1,0.4049756284183469,0
Ahafo,Asutifi North,2017,4,1,0.44877472961838827,0
Ahafo,Goaso,2017,4,1,0.4299123471349907,0
Ahafo,Asutifi North,2017,5,1,0.424255804718507,0
Ahafo,Goaso,2017,5,1,0.40844541836760007,0
Ahafo,Asutifi North,2017,6,1,0.4069930547772954,0
Ahafo,Goaso,2017,6,1,0.40495367966341,0
Ahafo,Asutifi North,2017,7,1,0.40148542471482135,0
Ahafo,Goaso,2017,7,1,0.41004447919400133,0
Ahafo,Asutifi North,2017,8,1,0.4012077340687198,0
Ahafo,Goaso,2017,8,1,0.39977826191656574,0
Ahafo,Asutifi North,2017,9,1,0.4087322473655402,0
Ahafo,Goaso,2017,9,1,0.39650335851539664,0
Ahafo,Asutifi North,2017,10,1,0.40784600129050597,0
Ahafo,Goaso,2017,10,1,0.4109350611645305,0
Ahafo,Asutifi North,2017,11,1,0.4541390880431019,0
Ahafo,Goaso,2017,11,1,0.4495884529553109,0
Ahafo,Asutifi North,2017,12,1,0.46772769217078286,0
Ahafo,Goaso,2017,12,1,0.4610501503875726,0
Ahafo,Asutifi North,2018,1,1,0.4713369223486204,0
Ahafo,Goaso,2018,1,1,0.4793590162568706,0
Ahafo,Asutifi North,2018,2,1,0.44891514658271753,0
Ahafo,Goaso,2018,2,1,0.4336323232942737,0
Ahafo,Asutifi North,2018,3,1,0.4125140104436455,0
